"FS PEAK";"FS INT";"SS PEAK";"SS INT";"CD11b FITC";"LIN PE";"FL3 INT";"CD33 PCP55";"CD14 PC7";"CD34 APC";"CD15 EF450";"HLA DR V510";"TIME"
74224;439004;20400;128044;24027,36;-6,138611;1134,879;9336,095;21097,84;-719,5427;881,2192;314,4609;649
72912;440245;19216;126712;35286,93;604,1933;-1322,25;12985,83;29985,08;-1282,544;1391,416;515,5753;677
113024;691355;39648;249088;56537,25;2092,379;-4036,441;21661,24;16127,17;-1060,594;9934,373;1668,478;684
113648;690539;66176;417289;29001,2;1098,997;-2905,439;25981,07;-1710,784;979,3749;64450,47;-160,8972;685
85120;497037;25984;147010;49973,84;2510,049;-3502,241;11711,06;27610,7;-1505,909;372,6523;497,6735;693
98608;567062;26384;144945;44258,41;1348,623;-2580,402;10902,79;38681,57;-1880,227;206,9271;4677,042;742
107376;672628;35104;241337;36520,63;-935,3527;9641,171;9344,801;68555,3;-2651,554;212,3785;2164,301;744
55168;349914;23648;145584;58164,08;295,5721;-1037,525;26534,53;52035,88;-62,08237;1160,844;1270,593;744
57888;450514;27296;265521;3192,422;-802,3638;6092,961;6466,001;644,2248;5549,978;516,3414;1067,648;757
70560;437900;26704;163492;29642,17;1253,99;-1975,821;10718,29;20526,52;-947,3464;236,1298;570,8145;778
92752;594060;106048;601460;1573,555;1260,027;605,1832;3692,987;-94,76007;32,07736;21934,56;620,7632;805
91104;544024;20176;113144;18880,13;1114,266;-150,7467;5956,088;13612,5;-617,4063;331,1004;1685,655;810
102336;647373;65952;358324;20229,9;826,0654;-1915,265;14658,43;-1163,628;-287,2353;26223,23;57,27487;815
94000;567785;13200;81859;2597,396;17,70145;3030,666;1390,488;33,22278;460,7631;386,8095;482,4836;819
77984;729408;25312;270605;26028,65;1145,862;-1389,205;12515,77;26801,54;-508,4796;308,9925;829,1063;822
101936;612400;29920;203157;28275,77;405,0572;655,6417;13409,53;25524;-887,6702;503,0691;1321,423;825
96000;562281;22496;136955;30532,07;672,5447;2146,707;17820,44;54949,76;-2227,229;376,7853;2175,827;839
102240;708312;30816;200256;49325,38;1682,734;-168,444;15781,15;41747,05;-1423,013;505,0041;906,4414;847
67232;435362;25104;153570;10487,99;734,6551;375,0644;4405,921;10912,52;-287,8824;351,522;842,1786;850
116608;662144;23184;147270;27927,7;778,8057;-448,6331;13173,87;32069,24;-1499,922;141,3235;1198,349;863
75184;442461;10284;66305;14501,22;-462,5793;1248,149;5320,921;-384,9308;100,2125;233,1167;647,0126;867
118976;843469;36944;247064;58384,62;1395,041;-2650,344;12766,01;35901,53;-290,286;952,6704;1013,934;883
58544;463480;18112;152063;17182,81;955,5623;374,4604;10351,55;24623,34;-923,0365;410,2394;2770,753;891
98096;787933;21616;156067;1935,302;-56,276;1616,164;6949,716;-517,4268;70,92482;3364,587;191,8395;901
86864;521766;23968;144307;38861,77;1209,211;-1971,418;15028,78;26625,46;-1108,378;277,5791;1661,697;902
31808;228156;26000;166286;34879,32;1362,508;6679,762;11541,09;69695,92;-1453,608;361,1522;3540,125;910
62608;434627;67904;478587;4345,392;-73,85907;3294,92;1129,2;1437,098;1818,918;1638,273;2031,837;927
114448;669842;86464;498282;18800,03;258,8629;69,92227;19798,46;-1652,385;717,1814;62952,61;-614,6521;930
123472;767472;104832;579242;16938,05;584,5955;148,523;2189,34;3,971893;285,0652;1312,138;508,4511;936
79920;520275;34784;218098;60566,16;-602,8596;5239,536;12530,61;60053,59;-2798,259;1026,366;698,0906;938
98160;584076;35280;196810;8603,774;1203,252;-758,3273;882,4115;662,3837;2133,062;6695,26;356,731;938
77984;466690;28592;174216;51399,35;-3433,494;14996,93;24763,29;43840,2;-2066,544;208,7624;5898,255;939
101280;585225;22784;133472;43133,53;654,737;844,1718;20251,32;57393,02;-2643,863;858,4125;1482,842;941
96240;690070;86592;532738;37490,27;1010,385;-4408,823;22322,02;-2196,065;215,723;45670,49;26,24924;948
48368;284006;22944;131981;59472,82;1223,018;-4524,529;12193,41;46952,64;-2033,249;85,95007;856,9071;953
85760;471588;24336;136589;16394,07;980,5803;598,9746;7699,655;31566,12;-1043,271;208,2628;1434,54;959
95040;569271;26544;161314;58593,5;1289,634;-1719,309;28808,77;52656,37;-2355,108;369,4836;2671,934;970
83712;481773;47456;255585;19565,94;1084,239;-2397,305;16340,62;-1681,664;1830,868;31643,77;1710,956;979
96304;556083;20096;113309;8046,589;307,7742;425,7314;12869,7;2606,695;707,1097;215,2257;2857,583;1025
87344;563334;74336;436441;28311,92;677,1674;-2042,162;11403,27;-1211,661;2884,591;36663,82;2398,221;1026
47376;309986;18288;125999;60796,06;1090,392;-2340,328;14111,51;58323;-2375,759;366,7531;3480,241;1041
35664;231192;15392;94915;5127,269;104,0134;2981,852;4410,8;510,789;293,5895;70,16638;714,8448;1061
114512;680335;58176;327867;1260,711;117,5419;974,2793;2592,52;-224,3692;258,559;15533,81;-24,6647;1084
103536;817000;105584;493903;13010,97;730,5148;-925,6863;11773,79;152,5826;-256,1241;14621,84;356,0691;1091
65808;375402;16224;87912;6257,514;335,2106;1391,787;4662,423;3086,224;-279,6783;472,9101;1144,469;1097
74288;435705;15312;89907;3942,665;525,5457;1184,829;4080,562;-298,3454;289,6795;373,5291;1161,445;1099
57408;309209;16624;96209;8997,049;516,4998;644,5352;9799,369;7010,13;420,5279;-0,6527405;1679,458;1101
70000;443065;24032;152451;38302,07;1214,26;1073,313;14035,18;42413;-1411,833;6061,998;1823,185;1123
80560;483496;21440;134582;16815,12;338,4125;839,9044;6028,419;24933,36;-964,7075;288,7229;984,2766;1126
97216;573103;22544;129954;71193,45;1819,887;-7260,415;14491,36;42052,37;-2535,258;776,3005;823,7327;1136
104112;738310;26816;151090;38660,22;2492,158;-1454,252;13673,74;35361,73;-1935,146;620,3352;1406,964;1138
63760;466628;33712;232007;57021,3;2785,672;-4041,458;15028,92;36544,37;-1593,189;4606,656;1267,506;1141
84992;488879;24752;146109;11685,86;60,27142;1426,172;8376,056;10510,35;-97,78278;403,3514;857,3008;1156
70688;408581;23152;143229;45947,15;4260,852;-188,7928;15367,98;52991,91;-2382,477;117,0866;1201,371;1156
65952;391011;11323;64494;1623,379;550,816;1181,675;1403,537;-31,65945;131,7986;246,4101;448,4869;1182
74352;429260;23808;142640;56821,93;1141,853;-1653,364;8419,104;51360,65;-2268,585;426,9641;1112,465;1190
107952;663077;23024;152544;68538,58;684,9398;-379,9706;20681,49;56410,5;-2559,049;512,8007;921,249;1200
73264;430618;25248;146091;53741,41;1593,499;-2827,469;18507,89;32475,18;-1548,048;627,9012;708,1218;1204
43872;492398;29824;250245;3661,144;647,1713;3065,429;2893,667;2148,421;921,6703;880,5964;1444,963;1221
83232;492984;22272;137369;42659,53;387,2443;-1101,567;11225,47;33673,79;-700,2393;116,8866;2398,66;1223
56688;466266;44208;383387;43119,55;1211,93;-3048,623;11340,69;22810,22;-1381,486;456,108;625,9894;1224
97312;598962;22800;140364;58648,7;102,0052;-269,0695;14014,24;33935,6;-1209,662;504,562;966,5718;1228
68944;497492;23600;151998;24836,54;308,9783;-831,8995;18058,24;8602,693;-692,2183;243,6968;2305,015;1231
97696;609739;29744;180128;41009,08;5915,789;1188,885;22577,36;60415,68;-1481,079;3083,776;3152,212;1250
76096;446480;60656;315843;1944,218;66,58636;912,658;2500,897;13,62723;68,1129;7593,665;70,60532;1268
102896;588395;18688;102516;20603,28;617,3903;-687,0026;4211,727;16593,27;-757,2048;236,0822;1436,015;1285
108160;724706;81920;510901;14449,46;1080,685;-1041,638;10776,15;-360,8857;9864,615;59850,25;-114,0213;1287
122512;878111;28240;229019;50528,95;4259,219;-3647,521;7790,148;29069,23;-1285,05;241,2168;439,7599;1287
90784;536022;19232;117404;95242,23;1664,662;-8326,297;21121,5;42979,07;-753,7936;86,97906;1365,99;1291
